iter	Passed	Remaining
0	209	209083
1	259	129571
2	307	10224833	365	9090644	412	8206355	457	7573466	501	7115577	549	6819288	595	6561899	644	63800110	687	61780111	737	60693112	781	59339113	834	58756114	888	58320115	934	57458116	976	56481117	1022	55791118	1069	55191119	1118	54812220	1161	54162221	1211	53832222	1259	53512223	1301	52932224	1347	52532225	1391	52142226	1443	52022227	1493	51852228	1538	51522229	1579	51063330	1624	50763331	1671	50553332	1721	50443333	1766	50203334	1811	49943335	1857	49733336	1904	49563337	1959	49613338	2003	49353339	2050	49224440	2100	49124441	2147	48984442	2194	48854443	2237	48614444	2282	48434445	2328	48294446	2377	48204447	2425	48104448	2471	47954449	2521	47905050	2568	47805551	2614	47655552	2662	47577553	2712	47518554	2756	47367555	2804	47275556	2847	47102557	2896	47040558	2941	46915559	2991	46859660	3037	46764661	3082	46628662	3122	46433663	3166	46305664	3215	46255665	3262	46174666	3309	46088667	3350	45924668	3392	45767669	3443	45748770	3485	45606771	3526	45454772	3572	45363773	3617	45266774	3658	45124775	3700	44990776	3744	44881777	3786	44755778	3823	44576779	3864	44440880	3910	4436281	3933	44037
82	3976	43933
883	4040	44058884	4085	43979885	4129	43888886	4171	43780887	4218	43723888	4263	43641889	4306	43538990	4348	4343891	4372	43150
992	4434	43243993	4481	43190994	4530	43158995	4584	43174996	4632	43127997	4676	43039998	4723	42985999	4768	429131100	4817	428761101	4862	428051102	4906	427251103	4953	426781104	4997	426011105	5041	425191106	5082	424151107	5126	423391108	5170	422671109	5223	422611110	5263	421541111	5304	420581112	5343	419401113	5392	419111114	5439	418581115	5481	417711116	5527	417121117	5575	416771118	5623	416301119	5665	415491120	5714	415161121	5755	414181122	5798	413411123	5844	412891124	5888	412191125	5934	411671126	5977	410911127	6019	410071128	6061	409291129	6105	408591130	6146	407731131	6188	406921132	6233	406331133	6276	405611134	6324	405231135	6366	40444136	6376	40166
137	6419	40096
1138	6501	40270139	6514	40019
140	6557	39947
141	6601	39889
142	6645	39828
143	6693	39791
144	6737	39725
145	6779	39654
146	6828	39621
147	6870	39551
148	6915	39499
149	6955	39414
150	6998	39350
151	7037	39262
152	7082	39206
153	7125	39145
154	7166	39070
155	7208	38999
156	7249	38927
157	7289	38847
158	7334	38793
159	7375	38722
160	7420	38672
161	7468	38634
162	7516	38599
163	7561	38547
164	7605	38486
165	7646	38417
166	7688	38349
167	7726	38264
168	7770	38208
1169	7849	383251170	7891	382561171	7937	38212172	7944	37979
173	7988	37923
174	8027	37842
175	8073	37798
176	8121	37763
177	8167	37718
178	8205	37636
179	8251	37592
180	8297	37546
181	8328	37430
1182	8408	375391183	8452	374851184	8501	37453185	8501	37204
186	8545	37150
187	8589	37098
188	8633	37045
189	8677	36991
190	8720	36934
191	8762	36873
192	8806	36821
193	8844	36746
194	8884	36677
195	8926	36616
196	8968	36556
197	9010	36497
198	9048	36421
199	9091	36364
200	9139	36330
201	9185	36286
202	9226	36223
203	9272	36181
204	9316	36131
205	9355	36058
206	9397	35999
207	9439	35944
208	9477	35868
209	9522	35821
210	9565	35768
211	9610	35721
212	9653	35668
213	9696	35613
214	9739	35559
215	9782	35505
216	9823	35445
217	9861	35374
218	9897	35297
219	9936	35228
220	9978	35172
221	10015	35101
222	10054	35031
223	10097	34981
224	10140	34929
225	10181	34869
226	10247	34896
227	10291	34845
228	10323	34755
229	10356	34673
230	10464	34837
231	10501	34762
232	10536	34683
233	10568	34597
234	10607	34532
235	10638	34441
236	10686	34402
237	10715	34306
238	10753	34238
239	10794	34183
240	10834	34122
241	10867	34039
242	10907	33979
243	10941	33901
244	10975	33822
245	11006	33734
246	11036	33646
247	11074	33580
248	11104	33491
249	11138	33414
250	11173	33341
251	11208	33269
252	11194	33052
253	11236	33000
254	11276	32943
255	11314	32881
256	11357	32836
257	11400	32786
258	11440	32731
259	11477	32667
260	11516	32607
261	11557	32553
262	11593	32488
263	11635	32438
264	11676	32384
265	11712	32319
266	11751	32261
267	11790	32204
268	11834	32158
269	11870	32094
270	11911	32042
271	11953	31993
272	11991	31934
273	12030	31875
274	12069	31818
275	12108	31763
276	12150	31713
277	12186	31650
278	12226	31594
279	12266	31542
280	12306	31490
281	12348	31441
282	12389	31390
283	12430	31339
284	12472	31290
285	12508	31226
286	12545	31167
287	12586	31116
288	12627	31066
289	12667	31012
290	12709	30966
291	12750	30916
292	12793	30870
293	12827	30802
294	12871	30761
295	12912	30711
296	12950	30653
297	12992	30607
298	13032	30553
299	13070	30498
300	13114	30455
301	13147	30387
302	13185	30330
303	13224	30277
304	13261	30219
305	13301	30167
306	13342	30118
307	13376	30054
308	13414	29998
309	13453	29944
310	13491	29889
311	13525	29826
312	13558	29759
313	13589	29688
314	13619	29616
315	13663	29575
316	13698	29513
317	13731	29449
318	13770	29397
319	13811	29350
320	13859	29315
321	13896	29259
322	13967	29276
323	14030	29273
324	14089	29262
